workerId,postId,experimentID,taskID,clicks,time,clickorder,clicktime,scenarioTime,why,honestly
"workerId","postId","experimentID","taskID","_clicks_walkthrough_prime,teach_prime,BOM,OOM,BRC,ORC_walkthrough_prime","_time_walkthrough_prime,teach_prime,BOM,OOM,BRC,ORC_walkthrough_prime","_clickorder_walkthrough_prime,teach_prime,BOM,OOM,BRC,ORC_walkthrough_prime","_clicktime_walkthrough_prime,teach_prime,BOM,OOM,BRC,ORC_walkthrough_prime","_scenariotime_walkthrough_prime,teach_prime,BOM,OOM,BRC,ORC_walkthrough_prime","_why_walkthrough_prime,teach_prime,BOM,OOM,BRC,ORC_walkthrough_prime","_honestly_walkthrough_prime,teach_prime,BOM,OOM,BRC,ORC_walkthrough_prime"
"A2R7IJ6O8ZYSYX","ilsp18b0","walkthrough_prime,teach_prime,BOM,OOM,BRC,ORC","walkthrough_prime","3","107795","b4,b5a,b3","88144,94779,107795","107795","why:","honestly:"
" A179FA3NA9FQ47","ilsqm5kp","walkthrough_prime,teach_prime,BOM,OOM,BRC,ORC","walkthrough_prime","3","165509","b4,b5a,b3","143932,150553,165509","165509","why:","honestly:"
"A2SYRFPPV9WDEG","ilsoof3k","walkthrough_prime,teach_prime,BOM,OOM,BRC,ORC","walkthrough_prime","3","4249545","b4,b5a,b3","4241244,4246715,4249545","4249544","why:","honestly:"
"AASW4EHSSOG40","ilsoefv5","walkthrough_prime,teach_prime,BOM,OOM,BRC,ORC","walkthrough_prime","3","150254","b4,b5a,b3","130069,137341,150253","150253","why:","honestly:"
"A1QK90OHMNVT6N","ilsowrb2","walkthrough_prime,teach_prime,BOM,OOM,BRC,ORC","walkthrough_prime","3","146559","b4,b5a,b3","132772,140102,146559","146559","why:","honestly:"
"AJH2N4RI8WA6U","ilspb4o8","walkthrough_prime,teach_prime,BOM,OOM,BRC,ORC","walkthrough_prime","3","246280","b4,b5a,b3","221303,240474,246280","246280","why:","honestly:"
"A1O67YS3DU0ZHX","ilss23ud","walkthrough_prime,teach_prime,BOM,OOM,BRC,ORC","walkthrough_prime","3","190215","b4,b5a,b3","178477,184214,190215","190215","why:","honestly:"
"A3JSI5WV5EJ602","ilsv83vd","walkthrough_prime,teach_prime,BOM,OOM,BRC,ORC","walkthrough_prime","3","150274","b4,b5a,b3","143913,148201,150274","150273","why:","honestly:"
"A9VLWY4KW6OCB","ilsrtp5q","walkthrough_prime,teach_prime,BOM,OOM,BRC,ORC","walkthrough_prime","3","45092","b4,b5a,b3","31540,41372,45092","45091","why:","honestly:"
"AB1X97ASE626Q","ilso9orp","walkthrough_prime,teach_prime,BOM,OOM,BRC,ORC","walkthrough_prime","3","149818","b4,b5a,b3","84812,104278,149818","149817","why:","honestly:"
"A2WBZ3W4TZNCJL","ilswd6cc","walkthrough_prime,teach_prime,BOM,OOM,BRC,ORC","walkthrough_prime","3","37857","b4,b5a,b3","32345,35534,37857","37856","why:","honestly:"
"A15SPRQ2HRRZMQ","ilsuj7u1","walkthrough_prime,teach_prime,BOM,OOM,BRC,ORC","walkthrough_prime","3","138193","b4,b5a,b3","130545,135194,138193","138193","why:","honestly:"
"AKNYT1NTK2UFK","ilsogudr","walkthrough_prime,teach_prime,BOM,OOM,BRC,ORC","walkthrough_prime","3","76548","b4,b5a,b3","65929,69987,76548","76548","why:","honestly:"
"AGBDM85RLYTGL","ilsp49ul","walkthrough_prime,teach_prime,BOM,OOM,BRC,ORC","walkthrough_prime","3","139277","b4,b5a,b3","126477,134164,139277","139277","why:","honestly:"
"A3N30TU7ZTLNB9","ilsudake","walkthrough_prime,teach_prime,BOM,OOM,BRC,ORC","walkthrough_prime","3","44322","b4,b5a,b3","36887,38731,44322","44321","why:","honestly:"
"A3PAA6VVRWVVK6","ilstdchl","walkthrough_prime,teach_prime,BOM,OOM,BRC,ORC","walkthrough_prime","3","159127","b4,b5a,b3","142618,151832,159127","159126","why:","honestly:"
"A1QNSTTYHRGJAT","ilsoer0s","walkthrough_prime,teach_prime,BOM,OOM,BRC,ORC","walkthrough_prime","3","106212","b4,b5a,b3","94802,101634,106212","106211","why:","honestly:"
