workerId,postId,experimentID,formerTask,latterTask,formerClicks,formerTime,formerClickorder,formerClicktime,formerScenarioTime,latterClicks,latterTime,latterClickorder,latterClicktime,latterScenarioTime
"workerId","postId","experimentID","formerTask","latterTask","_clicks_GOC,AOC,GRM,ARM_teach","_time_GOC,AOC,GRM,ARM_teach","_clickorder_GOC,AOC,GRM,ARM_teach","_clicktime_GOC,AOC,GRM,ARM_teach","_scenariotime_GOC,AOC,GRM,ARM_teach","_clicks_GOC,AOC,GRM,ARM_walkthrough","_time_GOC,AOC,GRM,ARM_walkthrough","_clickorder_GOC,AOC,GRM,ARM_walkthrough","_clicktime_GOC,AOC,GRM,ARM_walkthrough","_scenariotime_GOC,AOC,GRM,ARM_walkthrough"
"A361EVMLK9O0G1","ij7vjad0","GOC,AOC,GRM,ARM","teach","walkthrough","3","40428","b2,b4b,bb","29267,37597,40428","40429","3","31257","b1,b2,bb","17596,19597,31257","31257"
"A2XFO0X6RCS98M","ij7vo5pu","GOC,AOC,GRM,ARM","teach","walkthrough","4","28802","b1,b2,b3a,bb","4799,16328,26373,28802","28802","3","53101","b1,b2,bb","31627,35639,53101","53100"
"AU0BKJKFKF992","ij812xf3","GOC,AOC,GRM,ARM","teach","walkthrough","4","17807","b2,b3a,b3b,bb","2814,4307,5363,17807","17807","3","111215","b1,b2,bb","94571,97884,111215","111215"
"AXV9TYNADBPR4","ij84imio","GOC,AOC,GRM,ARM","teach","walkthrough","5","112639","b2,b4b,b4a,b3a,bb","55485,91873,94088,110772,112639","112639","3","86863","b1,b2,bb","81208,82544,86863","86863"
"A26U4IKXMXT0ZA","ij7zzoxj","GOC,AOC,GRM,ARM","teach","walkthrough","7","93853","b1,b4b,b2,b3a,b3b,b4a,bb","73158,79822,87442,90473,91622,92301,93853","93853","3","89813","b1,b2,bb","77020,83151,89813","89812"
"A2SFAW068VC8C6","ij7vjghg","GOC,AOC,GRM,ARM","teach","walkthrough","1","135209","bb","135209","135208","3","158123","b1,b2,bb","128234,130458,158123","158123"
"A9HQ3E0F2AGVO","ij7xpf33","GOC,AOC,GRM,ARM","teach","walkthrough","3","171086","b2,b4b,bb","37707,60336,171086","171086","3","68865","b1,b2,bb","40399,59526,68865","68865"
"A1O81SOPKHK5RZ","ij7yiysu","GOC,AOC,GRM,ARM","teach","walkthrough","7","115667","b1,b4b,b3a,b3b,b4a,b2,bb","52457,87255,100176,108127,110023,113436,115667","115667","3","134627","b1,b2,bb","102671,115507,134627","134626"
"AMPMTF5IAAMK8","ij7vk97d","GOC,AOC,GRM,ARM","teach","walkthrough","6","46559","b3a,b2,b4a,b3b,b4b,bb","27618,32166,39174,41414,43374,46559","46559","3","56978","b1,b2,bb","46969,50872,56978","56978"
