workerId,postId,experimentID,formerTask,latterTask,formerClicks,formerTime,formerClickorder,formerClicktime,formerScenarioTime,latterClicks,latterTime,latterClickorder,latterClicktime,latterScenarioTime
"workerId","postId","experimentID","formerTask","latterTask","_clicks_GOM,AOM,GRC,ARC_teach","_time_GOM,AOM,GRC,ARC_teach","_clickorder_GOM,AOM,GRC,ARC_teach","_clicktime_GOM,AOM,GRC,ARC_teach","_scenariotime_GOM,AOM,GRC,ARC_teach","_clicks_GOM,AOM,GRC,ARC_walkthrough","_time_GOM,AOM,GRC,ARC_walkthrough","_clickorder_GOM,AOM,GRC,ARC_walkthrough","_clicktime_GOM,AOM,GRC,ARC_walkthrough","_scenariotime_GOM,AOM,GRC,ARC_walkthrough"
"A8BGHKGBA8O33","ijuljo1r","GOM,AOM,GRC,ARC","teach","walkthrough","1","51143","bb","51143","51142","3","136237","b1,b2,bb","126294,131664,136237","136237"
"AU2NVT51E749C","ijuwxgk2","GOM,AOM,GRC,ARC","teach","walkthrough","7","427295","b2,b1,b4a,b4b,b3b,b3a,bb","356954,377389,413985,419174,423614,424254,427295","427294","3","92358","b1,b2,bb","64831,72006,92358","92358"
"A1P6HW6SX785GW","ijupqkmt","GOM,AOM,GRC,ARC","teach","walkthrough","4","79835","b2,b3a,b3b,bb","68195,78648,79271,79835","79834","3","178762","b1,b2,bb","169394,174813,178762","178762"
"A3AY0315YWWNXY","ijuwhnfp","GOM,AOM,GRC,ARC","teach","walkthrough","7","129576","b4a,b4b,b3b,b3a,b2,b1,bb","104404,112679,117936,122815,125729,128185,129576","129576","3","299672","b1,b2,bb","294923,295829,299672","299672"
"A2M5VW97GIYLHB","ijuletg6","GOM,AOM,GRC,ARC","teach","walkthrough","7","61217","b3a,b1,b4b,b3b,b4a,b2,bb","39530,45657,50934,54591,57211,59371,61217","61217","3","134833","b1,b2,bb","123788,129952,134833","134832"
"A35DUEG88GCX5J","ijun4byt","GOM,AOM,GRC,ARC","teach","walkthrough","1","14333","bb","14333","14333","3","39769","b1,b2,bb","29823,36273,39769","39769"
"A2541C8MY0BYV3","ijulf3xb","GOM,AOM,GRC,ARC","teach","walkthrough","3","29533","b3b,b2,bb","21745,24245,29533","29533","3","41865","b1,b2,bb","32095,34025,41865","41864"
"A24DYXCGZQUZUQ","ijuu0wmw","GOM,AOM,GRC,ARC","teach","walkthrough","7","177117","b1,b4b,b4a,b2,b3a,b3b,bb","109681,158091,164404,170469,175259,176351,177117","177117","3","86259","b1,b2,bb","63834,73299,86259","86258"
"A1J8TVICSRC70W","ijuth8av","GOM,AOM,GRC,ARC","teach","walkthrough","7","55978","b4b,b4a,b3a,b3b,b2,b1,bb","33091,42254,50743,52365,53575,54819,55978","55978","3","58159","b1,b2,bb","52986,53879,58159","58159"
"A1FG4M4370KNFI","ijur1nx6","GOM,AOM,GRC,ARC","teach","walkthrough","1","81196","bb","81196","81195","3","299667","b1,b2,bb","253838,262648,299667","299667"
"AAURYRJDZQIDH","ijumohk2","GOM,AOM,GRC,ARC","teach","walkthrough","1","61158","bb","61158","61158","3","52875","b1,b2,bb","42658,47810,52875","52875"
