workerId,postId,experimentID,formerTask,latterTask,formerClicks,formerTime,formerClickorder,formerClicktime,formerScenarioTime,latterClicks,latterTime,latterClickorder,latterClicktime,latterScenarioTime
"workerId","postId","experimentID","formerTask","latterTask","_clicks_GRC,ARC,GOM,AOM_teach","_time_GRC,ARC,GOM,AOM_teach","_clickorder_GRC,ARC,GOM,AOM_teach","_clicktime_GRC,ARC,GOM,AOM_teach","_scenariotime_GRC,ARC,GOM,AOM_teach","_clicks_GRC,ARC,GOM,AOM_walkthrough","_time_GRC,ARC,GOM,AOM_walkthrough","_clickorder_GRC,ARC,GOM,AOM_walkthrough","_clicktime_GRC,ARC,GOM,AOM_walkthrough","_scenariotime_GRC,ARC,GOM,AOM_walkthrough"
"AL83KKXUORS9Y","ijutmvc9","GRC,ARC,GOM,AOM","teach","walkthrough","7","139897","b2,b4a,b4b,b1,b3a,b3b,bb","48953,87975,98207,109489,123141,130948,139897","139897","3","190987","b1,b2,bb","157900,173072,190987","191003"
"A3BDQO85R6WOO1","ijurabew","GRC,ARC,GOM,AOM","teach","walkthrough","5","124617","b2,b1,b4b,b4a,bb","64489,71401,96218,104650,124617","124617","3","195299","b1,b2,bb","184865,189180,195299","195299"
"A23Y6SGE73H4IW","ijuu5b0f","GRC,ARC,GOM,AOM","teach","walkthrough","5","12154","b3b,b3a,b2,b1,bb","6118,8417,9513,10568,12153","12154","3","118391","b1,b2,bb","97420,102703,118391","118390"
"A98XHW6B1VSSQ","ijuqmgzi","GRC,ARC,GOM,AOM","teach","walkthrough","7","146647","b4a,b4b,b3b,b1,b2,b3a,bb","90808,98572,116894,128779,139062,143457,146647","146647","3","137257","b1,b2,bb","123474,131967,137257","137257"
"A1TNAK7Q0IH8VO","ijurl2ze","GRC,ARC,GOM,AOM","teach","walkthrough","7","93206","b4b,b2,b1,b3a,b4a,b3b,bb","58444,65093,74629,80091,84501,87642,93206","93206","3","249351","b1,b2,bb","220855,240068,249351","249351"
"ADMTRXEG43HU0","ijuldnpa","GRC,ARC,GOM,AOM","teach","walkthrough","4","159547","b2,b3a,b3b,bb","144011,152921,156780,159547","159543","3","204415","b1,b2,bb","175422,200048,204415","204415"
"A8L450UGY77XB","ijutyy44","GRC,ARC,GOM,AOM","teach","walkthrough","3","205684","b4b,b4a,bb","133605,154240,205684","205684","3","71811","b1,b2,bb","36420,58788,71811","71811"
"AD7CUW86FWEKT","ijulw1bc","GRC,ARC,GOM,AOM","teach","walkthrough","5","74180","b1,b4a,b4b,b3a,bb","44448,66515,69884,71618,74180","74180","3","89940","b1,b2,bb","78486,83183,89940","89939"
"A3N6DWJC7P3HSI","ijutncis","GRC,ARC,GOM,AOM","teach","walkthrough","3","10312","b4a,b3b,bb","5523,8942,10312","10312","3","17945","b1,b2,bb","11952,12639,17945","17945"
