workerId,postId,experimentID,taskID,clicks,time,clickorder,clicktime,scenarioTime,why,honestly
"workerId","postId","experimentID","taskID","_clicks_walkthrough_prime,teach_prime,BOC,OOC,BRM,ORM_walkthrough_prime","_time_walkthrough_prime,teach_prime,BOC,OOC,BRM,ORM_walkthrough_prime","_clickorder_walkthrough_prime,teach_prime,BOC,OOC,BRM,ORM_walkthrough_prime","_clicktime_walkthrough_prime,teach_prime,BOC,OOC,BRM,ORM_walkthrough_prime","_scenariotime_walkthrough_prime,teach_prime,BOC,OOC,BRM,ORM_walkthrough_prime","_why_walkthrough_prime,teach_prime,BOC,OOC,BRM,ORM_walkthrough_prime","_honestly_walkthrough_prime,teach_prime,BOC,OOC,BRM,ORM_walkthrough_prime"
"A3NM3GAVMJEI3J","ilspke6v","walkthrough_prime,teach_prime,BOC,OOC,BRM,ORM","walkthrough_prime","3","485701","b4,b5a,b3","437602,462211,485701","485701","why:","honestly:"
"A3IFO6ZUI1A0E2","ilsuf27t","walkthrough_prime,teach_prime,BOC,OOC,BRM,ORM","walkthrough_prime","3","1462200","b4,b5a,b3","1434021,1448673,1462200","1462200","why:","honestly:"
"A2AAY4VT9L71SY","ilsocuio","walkthrough_prime,teach_prime,BOC,OOC,BRM,ORM","walkthrough_prime","3","78643","b4,b5a,b3","73709,76857,78643","78643","why:","honestly:"
"A19UPDIY4ISN8J","ilstnff8","walkthrough_prime,teach_prime,BOC,OOC,BRM,ORM","walkthrough_prime","3","60342","b4,b5a,b3","35354,55447,60342","60331","why:","honestly:"
"A3EBUBRYCKB6AF","ilsqo4pv","walkthrough_prime,teach_prime,BOC,OOC,BRM,ORM","walkthrough_prime","3","25338","b4,b5a,b3","17604,22946,25338","25338","why:","honestly:"
"A19C6T7B0H4PAQ","ilsr51lq","walkthrough_prime,teach_prime,BOC,OOC,BRM,ORM","walkthrough_prime","3","52605","b4,b5a,b3","43567,48906,52604","52605","why:","honestly:"
"A1FLNAFLLO3UPK","ilsp0gw6","walkthrough_prime,teach_prime,BOC,OOC,BRM,ORM","walkthrough_prime","3","306199","b4,b5a,b3","279177,290334,306199","306199","why:","honestly:"
"A2LQ33BQ8G259D","ilsr21cf","walkthrough_prime,teach_prime,BOC,OOC,BRM,ORM","walkthrough_prime","3","331598","b4,b5a,b3","291928,317909,331597","331597","why:","honestly:"
"A1BHHRSKO2MBT3","ilsovcw0","walkthrough_prime,teach_prime,BOC,OOC,BRM,ORM","walkthrough_prime","3","29299","b4,b5a,b3","19543,22874,29299","29298","why:","honestly:"
"AG7F3QKOQJGYR","ilsszmc6","walkthrough_prime,teach_prime,BOC,OOC,BRM,ORM","walkthrough_prime","3","224956","b4,b5a,b3","206353,218745,224956","224930","why:","honestly:"
"A3IQAKT74IXJB6","ilsxiomg","walkthrough_prime,teach_prime,BOC,OOC,BRM,ORM","walkthrough_prime","3","123652","b4,b5a,b3","110924,119654,123652","123652","why:","honestly:"
"A3HTLXAPOBCVVO","ilsof6le","walkthrough_prime,teach_prime,BOC,OOC,BRM,ORM","walkthrough_prime","3","162572","b4,b5a,b3","128567,139344,162572","162571","why:","honestly:"
"AYXDE087J2KO","ilspdvbu","walkthrough_prime,teach_prime,BOC,OOC,BRM,ORM","walkthrough_prime","3","375522","b4,b5a,b3","320530,332535,375522","375522","why:","honestly:"
"A1O81SOPKHK5RZ","ilsq17ow","walkthrough_prime,teach_prime,BOC,OOC,BRM,ORM","walkthrough_prime","3","138627","b4,b5a,b3","131203,133757,138627","138626","why:","honestly:"
