workerId,postId,experimentID,formerTask,latterTask,formerClicks,formerTime,formerClickorder,formerClicktime,formerScenarioTime,latterClicks,latterTime,latterClickorder,latterClicktime,latterScenarioTime
"workerId","postId","experimentID","formerTask","latterTask","_clicks_GOC,AOC,GRM,ARM_teach","_time_GOC,AOC,GRM,ARM_teach","_clickorder_GOC,AOC,GRM,ARM_teach","_clicktime_GOC,AOC,GRM,ARM_teach","_scenariotime_GOC,AOC,GRM,ARM_teach","_clicks_GOC,AOC,GRM,ARM_walkthrough","_time_GOC,AOC,GRM,ARM_walkthrough","_clickorder_GOC,AOC,GRM,ARM_walkthrough","_clicktime_GOC,AOC,GRM,ARM_walkthrough","_scenariotime_GOC,AOC,GRM,ARM_walkthrough"
"A3P5WIW36V70AI","ijult3rh","GOC,AOC,GRM,ARM","teach","walkthrough","3","130317","b1,b2,bb","29576,113669,130317","130317","3","197586","b1,b2,bb","165064,187681,197585","197585"
"A2P065E9CYMYJL","ijuldd2e","GOC,AOC,GRM,ARM","teach","walkthrough","5","22978","b1,b3b,b4a,b4b,bb","19094,20280,21562,22264,22978","22977","3","40965","b1,b2,bb","35043,39513,40965","40965"
"A12VSA5C02M3FT","ijumj7ph","GOC,AOC,GRM,ARM","teach","walkthrough","7","131559","b1,b2,b3a,b3b,b4a,b4b,bb","80179,104531,108172,115569,118324,126677,131559","131559","3","83583","b1,b2,bb","66626,75281,83583","83583"
"A19L9MK673JAAG","ijuovp3q","GOC,AOC,GRM,ARM","teach","walkthrough","1","106898","bb","106898","106898","3","91603","b1,b2,bb","74485,82481,91603","91603"
"AVC1PLLFS210S","ijuluhj6","GOC,AOC,GRM,ARM","teach","walkthrough","2","433953","b4b,bb","408033,433953","433953","3","263990","b1,b2,bb","234066,247493,263990","263990"
"A5PR57GZ930KS","ijuldsu5","GOC,AOC,GRM,ARM","teach","walkthrough","1","58291","bb","58291","58291","3","117090","b1,b2,bb","94169,100682,117089","117089"
"AK0S8EQHPETZQ","ijuoha3g","GOC,AOC,GRM,ARM","teach","walkthrough","7","85601","b3a,b3b,b2,b1,b4a,b4b,bb","63507,67257,77058,78711,80956,83859,85601","85601","3","17611","b1,b2,bb","11825,16135,17611","17611"
"A1MJHGH55K3O0","ijutzies","GOC,AOC,GRM,ARM","teach","walkthrough","7","69383","b2,b3b,b3a,b4a,b4b,b1,bb","37840,54956,60376,61993,62796,63682,69383","69382","3","60603","b1,b2,bb","19760,24029,60603","60599"
"A3pjn43dd0ksi4","ijur8g44","GOC,AOC,GRM,ARM","teach","walkthrough","2","33261","b3a,bb","28014,33261","33261","3","85109","b1,b2,bb","72479,80613,85109","85108"
"A1A3TGZ7DKJWRW","ijulpkuk","GOC,AOC,GRM,ARM","teach","walkthrough","1","47292","bb","47292","47292","3","190715","b1,b2,bb","173545,180473,190715","190714"
"A160HFSRDNT91E","ijuldjv4","GOC,AOC,GRM,ARM","teach","walkthrough","2","95004","b4b,bb","82911,95004","95004","3","78636","b1,b2,bb","53960,58839,78636","78636"
"AT7THGIGM9XN5","ijuuobdd","GOC,AOC,GRM,ARM","teach","walkthrough","2","86305","b2,bb","54456,86305","86304","3","142367","b1,b2,bb","119815,131037,142367","142367"
"AYDILOZLKOAS8","ijultbb1","GOC,AOC,GRM,ARM","teach","walkthrough","7","124525","b3b,b4a,b4b,b3a,b2,b1,bb","111230,114623,118022,119613,120440,121885,124525","124525","3","37628","b1,b2,bb","20502,25761,37628","37627"
"A3F6SDO4GYBE4Y","ijuldpg4","GOC,AOC,GRM,ARM","teach","walkthrough","1","7871","bb","7871","7870","3","96477","b1,b2,bb","69579,81743,96477","96476"
"A2D2XQP00IZFR1","ijuleoo6","GOC,AOC,GRM,ARM","teach","walkthrough","7","173560","b4b,b4a,b3a,b3b,b2,b1,bb","134628,147528,155813,165108,167560,171529,173560","173560","3","265492","b1,b2,bb","236724,247106,265492","265492"
"workerId","postId","experimentID","formerTask","latterTask","_clicks_GOC,AOC,GRM,ARM_GRM","_time_GOC,AOC,GRM,ARM_GRM","_clickorder_GOC,AOC,GRM,ARM_GRM","_clicktime_GOC,AOC,GRM,ARM_GRM","_scenariotime_GOC,AOC,GRM,ARM_GRM","_clicks_GOC,AOC,GRM,ARM_GOC","_time_GOC,AOC,GRM,ARM_GOC","_clickorder_GOC,AOC,GRM,ARM_GOC","_clicktime_GOC,AOC,GRM,ARM_GOC","_scenariotime_GOC,AOC,GRM,ARM_GOC"
"A3P5WIW36V70AI","ijult3rh","GOC,AOC,GRM,ARM","GRM","GOC","1","20475","b5a","20475","20475","1","86990","b5a","86990","86989,0,0"
"A2P065E9CYMYJL","ijuldd2e","GOC,AOC,GRM,ARM","GRM","GOC","3","12463","b4,b5b,b5a","8306,9493,12463","12463","5","19765","b1,b2,b3,bb,b5a","16641,17452,18111,19087,19765","19766,0,0"
"A12VSA5C02M3FT","ijumj7ph","GOC,AOC,GRM,ARM","GRM","GOC","1","46048","b5a","46048","46048","2","46622","b5c,b5a","41782,46621","46622,0,0"
"A19L9MK673JAAG","ijuovp3q","GOC,AOC,GRM,ARM","GRM","GOC","3","88138","bb,b5c,b5a","51334,84986,88138","88138","4","89245","b1,bb,b2,b5a","66949,70683,79189,89245","84278,3243,1723"
"AVC1PLLFS210S","ijuluhj6","GOC,AOC,GRM,ARM","GRM","GOC","4","274963","b5b,b3,bb,b5a","141894,176420,221058,274963","274963","1","209963","b5a","209963","209963,0,0"
"A5PR57GZ930KS","ijuldsu5","GOC,AOC,GRM,ARM","GRM","GOC","1","78083","b5a","78083","78083","1","235962","b5a","235962","235962,0,0"
"AK0S8EQHPETZQ","ijuoha3g","GOC,AOC,GRM,ARM","GRM","GOC","3","57226","b5c,bb,b5a","48868,50537,57226","57226","1","178231","b5a","178231","178231,0,0"
"A1MJHGH55K3O0","ijutzies","GOC,AOC,GRM,ARM","GRM","GOC","2","19229","b1,b5a","17937,19229","19224","7","45100","bb,b5c,b4,b2,b1,b5b,b5a","34879,36208,37793,41961,42936,44322,45100","45096,0,0"
"A3pjn43dd0ksi4","ijur8g44","GOC,AOC,GRM,ARM","GRM","GOC","6","6920","b3,b1,b5b,b5c,b2,b5a","2314,3382,4416,5415,6133,6920","6920","6","60967","b4,bb,b1,b2,b3,b5a","37678,40359,51478,59381,60331,60966","60967,0,0"
"A1A3TGZ7DKJWRW","ijulpkuk","GOC,AOC,GRM,ARM","GRM","GOC","3","17263","b5b,b5c,b5a","13231,16272,17263","17263","6","96271","b4,b2,bb,b1,b3,b5a","58704,91103,93080,94623,95432,96271","95821,449,0"
"A160HFSRDNT91E","ijuldjv4","GOC,AOC,GRM,ARM","GRM","GOC","1","39518","b5a","39518","39518","3","120098","bb,b5b,b5a","105643,117504,120098","79737,22290,18070"
