workerId,postId,experimentID,formerTask,latterTask,formerClicks,formerTime,formerClickorder,formerClicktime,formerScenarioTime,latterClicks,latterTime,latterClickorder,latterClicktime,latterScenarioTime
"workerId","postId","experimentID","formerTask","latterTask","_clicks_GRM,ARM,GOC,AOC_teach","_time_GRM,ARM,GOC,AOC_teach","_clickorder_GRM,ARM,GOC,AOC_teach","_clicktime_GRM,ARM,GOC,AOC_teach","_scenariotime_GRM,ARM,GOC,AOC_teach","_clicks_GRM,ARM,GOC,AOC_walkthrough","_time_GRM,ARM,GOC,AOC_walkthrough","_clickorder_GRM,ARM,GOC,AOC_walkthrough","_clicktime_GRM,ARM,GOC,AOC_walkthrough","_scenariotime_GRM,ARM,GOC,AOC_walkthrough"
"A1BXEU20OCUGVZ","ijunpzgv","GRM,ARM,GOC,AOC","teach","walkthrough","7","57279","b4b,b4a,b3a,b3b,b2,b1,bb","41845,47091,51188,52671,54282,55338,57279","57279","3","59665","b1,b2,bb","36323,43405,59665","59665"
"A1OK974KXKO6FJ","ijuo8k4x","GRM,ARM,GOC,AOC","teach","walkthrough","3","103458","b1,b2,bb","81041,97721,103458","103458","3","123313","b1,b2,bb","99369,103385,123313","123313"
"ADGREXTAORHCE","ijuofmrr","GRM,ARM,GOC,AOC","teach","walkthrough","1","49549","bb","49549","49549","3","62938","b1,b2,bb","53317,57957,62938","62938"
"A2DSQT79EPX7My","ijulp6ak","GRM,ARM,GOC,AOC","teach","walkthrough","1","2454","bb","2454","2454","3","112125","b1,b2,bb","93872,100580,112125","112125"
"A248P03SBIGVNH ","ijumrfyq","GRM,ARM,GOC,AOC","teach","walkthrough","7","18655","b3a,b4a,b3b,b4b,b2,b1,bb","12602,14492,15673,16517,17338,17900,18655","18655","3","41040","b1,b2,bb","35246,38171,41040","41040"
"A3BZVFD82AVLT8","ijulkd8r","GRM,ARM,GOC,AOC","teach","walkthrough","1","28624","bb","28624","28623","3","58507","b1,b2,bb","54475,56731,58507","58507"
"AKLV0WIZZ356X","ijuofjtx","GRM,ARM,GOC,AOC","teach","walkthrough","7","41173","b2,b4a,b4b,b1,b3a,b3b,bb","21777,30631,37441,39103,39987,40513,41173","41173","3","98747","b1,b2,bb","83589,89490,98747","98747"
"A166A2M31CW2C7","ijunu89y","GRM,ARM,GOC,AOC","teach","walkthrough","1","802186","bb","802186","802186","3","27745","b1,b2,bb","20722,23703,27745","27744"
"A234BFY8K3WEIG","ijumu9g7","GRM,ARM,GOC,AOC","teach","walkthrough","1","85659","bb","85658","85659","3","86130","b1,b2,bb","63854,70573,86130","86129"
"AGFWV1U4CJXP5","ijupuam8","GRM,ARM,GOC,AOC","teach","walkthrough","7","16107","b3b,b3a,b2,b1,b4a,b4b,bb","10506,11747,12483,12987,13746,14170,16107","16107","3","109592","b1,b2,bb","87832,96417,109592","109592"
"A1TH0PTGDSBWMO","ijuo4kvd","GRM,ARM,GOC,AOC","teach","walkthrough","2","23853","b3b,bb","20461,23853","23853","3","22593","b1,b2,bb","18373,19855,22593","22591"
"A2EEL9YYUHL5SK","ijuop8me","GRM,ARM,GOC,AOC","teach","walkthrough","2","102427","b2,bb","89350,102427","102427","3","114916","b1,b2,bb","88595,103506,114916","114916"
"A2JCHN90PRUWDH","ijulg6ap","GRM,ARM,GOC,AOC","teach","walkthrough","7","78288","b3b,b3a,b4a,b2,b1,b4b,bb","60171,66217,68400,71912,73975,75816,78288","78288","3","41502","b1,b2,bb","27639,34326,41502","41501"
"AUH7I1RNWH44P","ijulxhnb","GRM,ARM,GOC,AOC","teach","walkthrough","2","32512","b4a,bb","29782,32512","32512","3","121594","b1,b2,bb","110649,116937,121594","121593"
"A1B6K2VL8JLK8D","ijunqjpn","GRM,ARM,GOC,AOC","teach","walkthrough","1","47839","bb","47839","47839","3","81376","b1,b2,bb","71489,74740,81376","81375"
"ARFGGRGH6TH","ijum85d0","GRM,ARM,GOC,AOC","teach","walkthrough","1","6197","bb","6197","6197","3","15807","b1,b2,bb","13910,15132,15807","15807"
