"workerId","postId","experimentID","taskID","q1","tasks/double-INT.html_time","tasks/double-INT.html_test0","tasks/double-INT.html_test1","tasks/double-INT.html_test2","tasks/double-INT.html_test3"
"A2MCRVU8I9VNHG","j9u5ifuo","tasks/double-INT.html","tasks/double-INT.html","Perl -- No issues","59443","21,42","16,32","35,70","103,206"
"A1JW11G1QUNMGN","j9u5yvoc","tasks/double-INT.html","tasks/double-INT.html","English","20699","21,42","5,10","2,4","6,12"
"AXKM02NVXNGOM","j9ua6ij4","tasks/double-INT.html","tasks/double-INT.html","Matlab. ","57368","21,42","50,100","62,124","150,300"
"A13UY6H25XM3UW","j9u7e10x","tasks/double-INT.html","tasks/double-INT.html","Coding","37667","21,42","30,60","60,120","40,80"
"A15QGLWS8CNJFU","j9u5jpkd","tasks/double-INT.html","tasks/double-INT.html","no","153020","21,42","84,168","336,672","1344,2688"
"A2C4WD51MXBPYM","j9u5nwmm","tasks/double-INT.html","tasks/double-INT.html","C++","53180","21,42","42,84","45,90","90,180"
"A3ATU3VULAB7K2","j9u5j34f","tasks/double-INT.html","tasks/double-INT.html","Python. No problems with survey.","29223","21,42","5,10","12,24","512,1024"
"debug","j9sxkkoq","tasks/double-INT.html","tasks/double-INT.html","DEBUG 2A","8562","21,0","0,0","0,0","0,0"
"A3UPZ88FI1EJC","j9u5lvsx","tasks/double-INT.html","tasks/double-INT.html","No","33949","21,42","30,60","15,30","50,100"
"A1BH6H9WRK49I","j9u5s24h","tasks/double-INT.html","tasks/double-INT.html","python. no","205447","21,42","10,20","32,64","45,90"
"A39J3Y8YVC6AIZ","j9u656xi","tasks/double-INT.html","tasks/double-INT.html","no issues. I use VBS mostly, then C/C++, and Autoit","128307","21,42","13,26","72,144","56,112"
"AR0Z6NOTJ84I3","j9u5rfx5","tasks/double-INT.html","tasks/double-INT.html","SQL","549238","21,42","15,30","199,396","7,14"
"A3IFVDB03R6463","j9u6i0mg","tasks/double-INT.html","tasks/double-INT.html","Java, no","35999","21,42","1,2","2,4","4,8"
"AP9WIQ4P78XLH","j9u5wils","tasks/double-INT.html","tasks/double-INT.html","I use php daily. Everything seemed to work except the mturk id check didn't indicate if I had taken this before or not.","36362","21,42","16,32","44,88","321,642"
"AISNLDPD2DFEG","j9ua97zb","tasks/double-INT.html","tasks/double-INT.html","C++","69543","21,42","133,266","12345,24690","999999,1999998"
"A1KXYURHCYHKOL","j9u6c4h3","tasks/double-INT.html","tasks/double-INT.html","Forth","62836","21,42","15,30","75,150","13,26"
"A29SRIJI8CEESO","j9u5dah7","tasks/double-INT.html","tasks/double-INT.html","ingles","32392","21,42","10,20","15,30","20,40"
"AGRKG3YT3KMD8","j9ucg4us","tasks/double-INT.html","tasks/double-INT.html","JavaScript, no problems","92236","21,42","-2,-4","1.225,2.45","-0.3,-0.6"
"AI9QOT5C5DN1P","j9u6kis0","tasks/double-INT.html","tasks/double-INT.html","c++ and no issues","181709","21,42","147,294","1029,2058","7203,14406"
"A28LJ6540DSBSQ","j9u79c2w","tasks/double-INT.html","tasks/double-INT.html","python","68404","21,42","4,8","10,20","11,22"
"a3hylvfudkjfkc","j9u5lnkh","tasks/double-INT.html","tasks/double-INT.html","do not use programming language and noissues","37371","21,42","2,4","3,6","4,8"
"a2zx7580nvwa61","j9u5hlhn","tasks/double-INT.html","tasks/double-INT.html","c#","24517","21,42","42,84","84,168","168,336"
"AGSTIQC7IM0Q","j9u65fd3","tasks/double-INT.html","tasks/double-INT.html","C/C++","54883","21,42","13,26","101,202","3021,6042"
"A13OOUR0WU1KSL","j9u5lrwg","tasks/double-INT.html","tasks/double-INT.html","HTML, no","28509","21,42","10,20","15,30","5,10"
"A3MVQVS782U9SG","j9u70unp","tasks/double-INT.html","tasks/double-INT.html","english and no","120694","21,42","25,50","15,30","10,20"
