workerId,postId,experimentID,taskID,q1,tasks/adding-machine-POS-INT.html_time,tasks/adding-machine-POS-INT.html_test0,tasks/adding-machine-POS-INT.html_test1,tasks/adding-machine-POS-INT.html_test2,tasks/adding-machine-POS-INT.html_test3,tasks/adding-machine-POS-INT.html_score,
A37CO0N1KC1CDW,ja39xc99,tasks/adding-machine-NEG-FLOAT.html,tasks/adding-machine-NEG-FLOAT.html,none,133152,"[""[-1.1, -1.1, 0.0, 0.0]"",""[-4.4, -3.2]""]","[""[-1.2, -1.3, 0.0, 0.0]"",""[-3.0, -2.2]""]","[""[-3.0, -2.2, 0.0, 0.0]"",""[-4.4, -3.3]""]","[""[-1.2, -1.1, 0.0, 0.0]"",""[-4.1, -3.3]""]",75,75
A1931U5JHX67RA,ja37bi68,tasks/adding-machine-NEG-FLOAT.html,tasks/adding-machine-NEG-FLOAT.html,"Python, no issues.",245520,"[""[-1.1, -1.1, 0.0, 0.0]"",""[2.2]""]","[""[-100, 100]"",""[0]""]","[""[2, 3, 0, 5, 12]"",""[5, 17]""]","[""[-2, 3, 0, 0, 1, 4]"",""[1]""]",75,
A2CRW4IEV552TI,ja3cgd06,tasks/adding-machine-NEG-FLOAT.html,tasks/adding-machine-NEG-FLOAT.html,"English, no problem",391234,"[""[-1.1, -1.1, 0.0, 0.0]"",""[-1.1,-1.1]""]","[""[-1.1,-3.1,0.0,-2.4,-1.3,0.0,0.0]"",""[-4.4,-3.7]""]","[""[-1.1,-1.2,0.0,1.2,1.3,0.0,0.0]"",""[-2.3,2.5]""]","[""[1.3,1.5,0.0,1.2,1.3,0.0,0.0]"",""[2.8,2.5]""]",75,
A2JPGLBWQ1X49G,ja47vbuk,tasks/adding-machine-NEG-FLOAT.html,tasks/adding-machine-NEG-FLOAT.html,good,316272,"[""[-1.1, -1.1, 0.0, 0.0]"",""[-1,1,0,0]""]","[""[5.6, 7.8, 6.5, 8,7]"",""[10,12]""]","[""[2.3 ,2.3, 3.4, 4,3]"",""[7.8,7.7]""]","[""[2.3,4.3]"",""[3,5]""]",75,
A16KRV8DCJWW95,ja38haqq,tasks/adding-machine-NEG-INT.html,tasks/adding-machine-NEG-INT.html,Python. No issues.,347384,"[""[-1, -1, 0, 0]"",""[-2]""]","[""[]"",""[]""]","[""[0, 0]"",""[0]""]","[""[1, 2, 3]"",""[]""]",50,58.3333333333
A1F87RE7NW5GS,ja3dxspl,tasks/adding-machine-NEG-INT.html,tasks/adding-machine-NEG-INT.html,C++,31900,"[""[-1, -1, 0, 0]"",""[-4, -3]""]","[""[-1, -1, 0, 0]"",""[-4, -3]""]","[""[-1, -1, 0, 0]"",""[-4, -3]""]","[""[-1, -1, 0, 0]"",""[-4, -3]""]",50,
A224B7BAQ0MZSN,ja3setxn,tasks/adding-machine-NEG-INT.html,tasks/adding-machine-NEG-INT.html,"Python, no issues",168911,"[""[-1, -1, 0, 0]"",""[-2]""]","[""[1, 8, 0, -3, 0, 0]"",""[9, 6]""]","[""[43, 6, 1, 0, -4, 0, -8, 0, 0]"",""[50, 46, 38]""]","[""[1, 0, 13, 0, -8, 5, 0, 0, 6, 0, -2]"",""[1, 14, 11]""]",50,
A23E6X71FJYI9Q,ja3e4ctg,tasks/adding-machine-NEG-INT.html,tasks/adding-machine-NEG-INT.html,It was a little confusing.  I appreciate the opportunity though!  ,248519,"[""[-1, -1, 0, 0]"",""[-2]""]","[""[-1, -2, 0, -1, -2, 0, 0]"",""[-3, -3]""]","[""[-3, -1, 0, -4, -1, 0, 0, 5]"",""[-4, -5]""]","[""[-1, -2, -3, 0, 0]"",""[-6]""]",50,
A271OR3DDWRX5L,ja3da3ky,tasks/adding-machine-NEG-INT.html,tasks/adding-machine-NEG-INT.html,Java. No issues!,329474,"[""[-1, -1, 0, 0]"",""[-2]""]","[""[1.5, 0, 1.5, 1.3, 0, 0]"",""[1.5, 2.8]""]","[""[-1, 1, 0, 0]"",""[0]""]","[""[0, 3, 0, 0]"",""[3]""]",75,
A277V4SHQB8JRS,ja3l7fi4,tasks/adding-machine-NEG-INT.html,tasks/adding-machine-NEG-INT.html,Java,547068,"[""[-1, -1, 0, 0]"",""[-2]""]","[""[0, 0]"",""[0]""]","[""[22, 88, 100, 0, 0]"",""[200]""]","[""[1, 0, 0]"",""[1]""]",50,
A3EEIGHJ9KUZAM,ja3f0m74,tasks/adding-machine-NEG-INT.html,tasks/adding-machine-NEG-INT.html,Python. Did not have any issues.,231345,"[""[-1, -1, 0, 0]"",""[-3,-3]""]","[""[-3,-4,-5,-100,-100,-101,-101]"",""[-3,-3]""]","[""[123,123,124,124,125,125,4,4,4,5,5,5]"",""[-4,-4, -0]""]","[""[1,2,3,4,5]"",""[-2,-2,-0]""]",50,
A3JGW4RGO86NPX,ja37ajnq,tasks/adding-machine-NEG-INT.html,tasks/adding-machine-NEG-INT.html,C# and no issues,478721,"[""[-1, -1, 0, 0]"",""[-2]""]","[""[5,4,3,2,1,0,-1,-2,-3,-4,-5]"",""[15,-15]""]","[""[0.5,0.5,1.5,0,0,0.11,0.22]"",""[2.5]""]","[""[-9999,-1,0,-0.25,-0.5]"",""[-10000,-0.75]""]",100,
AALU4OCFJN7LD,ja387f4i,tasks/adding-machine-NEG-INT.html,tasks/adding-machine-NEG-INT.html,"HTML, no issues- I REALLY enjoyed this!",962847,"[""[-1, -1, 0, 0]"",""[-4, -2]""]","[""[0, -2, 0, -1, 0, -1, 0, -1, -3, 0, -1, 0, -1, 0, 0, -3]"",""[-2, -1, -3, -1, 0, -1, -1, 0, -1]""]","[""[-1, 0, 0, -1]"",""[0, -1, 0]""]","[""[0, -1, 0, -1, 0, -1, 0, 0, -2]"",""[0, -3, -0]""]",50,
A14ROPJKQ4KB6V,ja38jr1d,tasks/adding-machine-POS-FLOAT.html,tasks/adding-machine-POS-FLOAT.html,BASIC,1138026,"[""[2.2, 2.2, 0.0, 0.0]"",""[4.4]""]","[""[1.2, 2.1, 0.0, 0.0]"",""[3.3]""]","[""[5.5, 2.3, 0.0, 0.0]"",""[5.5, 2.3]""]","[""[0.8, 3.6, 0.0, 0.0]"",""[4.4]""]",50,63.8888888889
A14WLAP6TCEKO0,ja39g3gd,tasks/adding-machine-POS-FLOAT.html,tasks/adding-machine-POS-FLOAT.html,I use Python the most. No issues with the survey.,443683,"[""[2.2, 2.2, 0.0, 0.0]"",""[4.4]""]","[""[2.1, 1.1, 0.0, 1.1, 0.9, 0.0, 0.0]"",""[3.2, 2.0]""]","[""[0.5, 1.6, 0.0, 2.6, 2.1, 0.0, 0.0]"",""[2.1, 4.7]""]","[""[1.3, 3.4, 0.0, 0.0]"",""[4.7]""]",50,
A23TGEQ4CG90PA,ja3c64h9,tasks/adding-machine-POS-FLOAT.html,tasks/adding-machine-POS-FLOAT.html,Python. No problems. ,234863,"[""[2.2, 2.2, 0.0, 0.0]"",""[4.4]""]","[""[5.0,-5.0,0.0,0.0]"",""[0.0]""]","[""[1.0, 1.0, 0.0, 5.0, 0.0, 0.0, 5.0]"",""[2.0, 5.0]""]","[""[3.1, 0.0, -3.0, 0.0,-0.1,0.0,0.0]"",""[3.1,-3.0,-0.1]""]",100,
A2NATHCQ1GDUJU,ja39xryu,tasks/adding-machine-POS-FLOAT.html,tasks/adding-machine-POS-FLOAT.html,"C++, no issues",285605,"[""[2.2, 2.2, 0.0, 0.0]"",""[4.4]""]","[""[0.0, -2.1, 2.1, 4.3, 7.7, 0.0]"",""[12.0]""]","[""[0.0001, 4.1, 0.0, 3.22, 0.0, -1.22]"",""[4.1001, 3.22]""]","[""[-10.2, 10.1, -4.0, 0.0, 0.0, 1.6, 0.0, 1.0]"",""[-4.1, 2.6]""]",100,
A2S70B3BPRGCU0,ja38v0rv,tasks/adding-machine-POS-FLOAT.html,tasks/adding-machine-POS-FLOAT.html,na,655171,"[""[2.2, 2.2, 0.0, 0.0]"",""[4.4]""]","[""[2.3, 1.1, 0.0,3.1, 1.2]"",""[3.4,4.3]""]","[""[3.3,1.2,4.2,1.4]"",""[4.5,5.6]""]","[""[4.3,2.2,1.4,2.3,0.0]"",""[6.5,3.7]""]",50,
A35IGG3NIWL4A3,ja3ffzl8,tasks/adding-machine-POS-FLOAT.html,tasks/adding-machine-POS-FLOAT.html,My most used programming language is Ruby.,312102,"[""[2.2, 2.2, 0.0, 0.0]"",""[4.4]""]","[""[0.0, 1.1, 0.0, 3.3, 2.2]"",""[1.1, 5.5]""]","[""[1.1, -1.1, 0.0, 3.3, 4.4, -0.0, 0.0]"",""[0.0, 7.7]""]","[""[0.0, 0.0]"",""[]""]",75,
A3K0FR8723IKPX,ja3wpzfl,tasks/adding-machine-POS-FLOAT.html,tasks/adding-machine-POS-FLOAT.html,PHP,456907,"[""[2.2, 2.2, 0.0, 0.0]"",""[4.4]""]","[""[2.5, 1.2, 3.5, 0.0, 3.3, 2.1, 0.0, 0.0]"",""[7.2, 5.4]""]","[""[3.1, 2.1, 0.0, 8.2, 2.5,0.0, 0.0]"",""[5.2, 10.7]""]","[""[1.1, 2.9, 0.0, 3.3, 3.4, 0.0, 2.8, 1.0, 0.0, 0.0, 4.1]"",""[4.0, 6.7, 3.8]""]",50,
