"workerId","postId","experimentID","taskID","q1","tasks/triple-POS-INT.html_time","tasks/triple-POS-INT.html_test0","tasks/triple-POS-INT.html_test1","tasks/triple-POS-INT.html_test2","tasks/triple-POS-INT.html_test3"
"A2HC9549CZAKNN","jammd8kv","tasks/triple-POS-INT.html,tasks/adding-machine-LEADING-0.html,tasks/sum-sublists-EMPTY-LIST.html,tasks/first-half-EVEN-LENGTH.html,tasks/cut-at-xx-MULTIPLE-XXS.html","tasks/triple-POS-INT.html","I use C+ and i mainly use it for school. There were no issues with the survey. ","118706","21,63","1,3","100,300","1000,3000"
"A2GFRYX2PIRT4S","jampldjf","tasks/triple-POS-INT.html,tasks/adding-machine-WITH-00.html,tasks/sum-sublists-ALL-FULL.html,tasks/first-half-EVEN-LENGTH.html,tasks/cut-at-xx-THREE-XS.html","tasks/triple-POS-INT.html","html","145428","21,63","2,6","4,12","5,15"
"A2RBF3IIJP15IH","jamlp5wr","tasks/triple-POS-INT.html,tasks/adding-machine-WITH-00.html,tasks/sum-sublists-EMPTY-LIST.html,tasks/first-half-EVEN-LENGTH.html,tasks/cut-at-xx-FOUR-XS.html","tasks/triple-POS-INT.html","I use CSS and HTML a lot, I had no issues with the survey.","752434","21,66","4,12","33,99","11,33"
"A36A510EEJ0NOC","jamnlv3j","tasks/triple-POS-INT.html,tasks/adding-machine-WITH-00.html,tasks/sum-sublists-EMPTY-SUBLIST.html,tasks/first-half-EVEN-LENGTH.html,tasks/cut-at-xx-FOUR-XS.html","tasks/triple-POS-INT.html","No","71113","21,63","15,45","18,54","37,111"
"A1N1XX269GGJSR","jammpokl","tasks/triple-POS-INT.html,tasks/adding-machine-WITHOUT-00.html,tasks/sum-sublists-EMPTY-SUBLIST.html,tasks/first-half-EMPTY-STRING.html,tasks/cut-at-xx-MULTIPLE-XXS.html","tasks/triple-POS-INT.html","C#, went to college for computer science, now I program","74945","21,63","4,12","5,15","6,18"
"A24WDE3E887KCO","jammuyzv","tasks/triple-POS-INT.html,tasks/adding-machine-WITH-00.html,tasks/sum-sublists-EMPTY-SUBLIST.html,tasks/first-half-EMPTY-STRING.html,tasks/cut-at-xx-FOUR-XS.html","tasks/triple-POS-INT.html","FORTRAN. No. No.","156744","21,7","21,63","63,189","189,567"
"A18LPAFMK1B06K","jamltazw","tasks/triple-POS-INT.html,tasks/adding-machine-WITH-00.html,tasks/sum-sublists-EMPTY-LIST.html,tasks/first-half-EVEN-LENGTH.html,tasks/cut-at-xx-FOUR-XS.html","tasks/triple-POS-INT.html","Java","53142","21,63","-1,-1","2,6","0,0"
"A2VWG0L5JHOBWN","jamlmdru","tasks/triple-POS-INT.html,tasks/adding-machine-LEADING-0.html,tasks/sum-sublists-EMPTY-SUBLIST.html,tasks/first-half-EVEN-LENGTH.html,tasks/cut-at-xx-NO-XXS.html","tasks/triple-POS-INT.html","Java, no issues","196709","21,9261","26,17576","20,8000","15,3375"
"A2P065E9CYMYJL","jamm7yuo","tasks/triple-POS-INT.html,tasks/adding-machine-LEADING-0.html,tasks/sum-sublists-EMPTY-LIST.html,tasks/first-half-ODD-LENGTH.html,tasks/cut-at-xx-FOUR-XS.html","tasks/triple-POS-INT.html","Javascript. no. no.","64956","21,63","48,144","1,3","7,21"
"A3SD02HCW68EUL","jamlz4r7","tasks/triple-POS-INT.html,tasks/adding-machine-LEADING-0.html,tasks/sum-sublists-EMPTY-SUBLIST.html,tasks/first-half-EVEN-LENGTH.html,tasks/cut-at-xx-NO-XXS.html","tasks/triple-POS-INT.html","c++","127201","21,63","5,15","10,30","20,60"
