"workerId","postId","userAgent","experimentID","taskID","modules/AOW.html_iunderstand","modules/AOW.html_iready","modules/AOW.html_time","modules/AOW.html_attempts","modules/AOW.html_attempttime","modules/AOW.html_attemptcode","modules/AOW.html_exitq","q1","q2","q3","q4","q5","q6"
"A15FXHC1CVNW31","it9enrmm","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/53.0.2785.116 Safari/537.36","modules/AOW.html,modules/HOM.html","modules/AOW.html","true","true","199744","7","152203,164387,169161,177869,192713,196503,199744","T1M1,T1M3,T1M2,T2M3,T2R1,T2R2,T2M2","true","Somewhat","2","10","Somewhat","Somewhat","I misunderstood the concept initially and after trying a few options that I gave it some thought about, I believed there was an issue with the study, so I tried to satisfy all options and see if anything went through as 'correct'. I then re-read the instructions in regards to the tenants and tried ""a set of"" and ""two"" ...in which two was the correct answer. Once completed and explained why it was correct, it made complete sense to me, unfortunately it was after the fact.   Very interesting logic puzzle. I enjoyed it."
"A2WGW5Y3ZFBDEC","it9kh7vl","Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/53.0.2785.116 Safari/537.36","modules/AOW.html,modules/HOM.html","modules/AOW.html","true","true","456515","2","440539,456515","T2R2,T2M2","true","Not at all","1","1","Somewhat","Somewhat","Not really, I for some reason discarded the idea of another person as a tenant in the second study, or didn't see where the option for that was, or I would have finished it much more quickly."
" A2XOXPBNSPJ7NB","it9ie52f","Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/53.0.2785.116 Safari/537.36","modules/AOW.html,modules/HOM.html","modules/AOW.html","true","true","108777","3","74793,84052,108777","T2R2,T2R1,T2M2","true","Somewhat","2","20","A little","Somewhat","im not sure, i would read the instructions over and over and think i had it then i would read the white and red statements, think i understood what needed to change then i would be entirely wrong."
"A1G5BALVLNHTPU","it9exqrg","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/52.0.2743.116 Safari/537.36","modules/AOW.html,modules/HOM.html","modules/AOW.html","true","true","169643","4","108601,119799,164323,169643","T2R1,T2R2,T2M3,T2M2","true","Somewhat","1","1","Somewhat","Extremely","just making sure the puzzle would be solved correctly."
"A2TVJTQ4VXATE6","it9ennr4","Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/53.0.2785.116 Safari/537.36","modules/AOW.html,modules/HOM.html","modules/AOW.html","true","true","88138","2","56249,88138","T1M2,T2M2","true","Not at all","1","4","A little","Extremely","no"
"A2W1C5PDHUF25O","it9j181h","Mozilla/5.0 (Windows NT 10.0; WOW64; rv:48.0) Gecko/20100101 Firefox/48.0","modules/AOW.html,modules/HOM.html","modules/AOW.html","true","true","654423","7","471862,547431,555535,614353,626004,654412,654423","T1M2,T1M1,T1M3,T2R2,T2R1,T2M2,T2M2","true","Somewhat","1","5","A little","A little","there's no code"
"A15V8K8M4TXT9Y","it9j3a3v","Mozilla/5.0 (Windows NT 10.0; WOW64; rv:48.0) Gecko/20100101 Firefox/48.0","modules/AOW.html,modules/HOM.html","modules/AOW.html","true","true","170408","3","159758,170403,170407","T2R1,T2M2,T2M2","true","Somewhat","1","4","Very","Very","I struggled with the logic of what was and wasn't possible. Didn't realize there could be 2 tenants in the 2nd puzzle. Not sure how you could make that easier though."
"A13SXVNIEDPQRB","it9jbvou","Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/53.0.2785.116 Safari/537.36","modules/AOW.html,modules/HOM.html","modules/AOW.html","true","true","161228","6","67414,90190,121449,133328,140146,161227","T2M1,T2R2,T2R1,T2M3,T1M3,T2M2","false","A little","1","2","Somewhat","Very","It just took me a little to catch on"
"AQTZ7YSOXLWLY","it9euixb","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/53.0.2785.116 Safari/537.36","modules/AOW.html,modules/HOM.html","modules/AOW.html","true","true","176997","1","176996","T2M2","false","A little","0","0","Very","Somewhat","No, it was clear."
"A2WCV7ULUPKVNQ","it9k5460","Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/53.0.2785.116 Safari/537.36","modules/AOW.html,modules/HOM.html","modules/AOW.html","true","true","431152","2","216230,431151","T1M3,T2M2","false","Not at all","1","10","A little","A little","The second was very confusing to me, so much so that I can't think of how it could have been made easier to be honest."
