"workerId","postId","userAgent","experimentID","taskID","modules/AOW.html_iunderstand","modules/AOW.html_iready","modules/AOW.html_time","modules/AOW.html_attempts","modules/AOW.html_attempttime","modules/AOW.html_attemptcode","q1","q2","q3","q4","q5","q6"
"A13JDX06ZXN4KJ","it384ddq","Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/52.0.2743.116 Safari/537.36","modules/AOW.html,modules/GOM.html","modules/AOW.html","true","true","445827","7","370261,383740,401660,421964,433192,439328,445827","T1M2,T1M1,T2R2,T2M3,T1M3,T2R1,T2M2","Very","1","1","Very","Extremely","I was really confused on the first task so I did guess every answer. However on the second task I totally understood what I was doing. I am not sure why the first task was so difficult for me to understand, though."
"A27PVIL93ZMY46","it3cneia","Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/52.0.2743.116 Safari/537.36","modules/AOW.html,modules/GOM.html","modules/AOW.html","true","true","316308","5","209679,259053,262446,297388,316308","T1M3,T2R2,T2R1,T1M1,T2M2","A little","0","8","A little","A little","Better examples, maybe."
"AY7WPVKHVNBLG","it389lp8","Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/53.0.2785.113 Safari/537.36","modules/AOW.html,modules/GOM.html","modules/AOW.html","true","true","378118","4","336735,356246,361839,378118","T1M3,T2R2,T2R1,T2M2","Somewhat","0","1","Somewhat","Very","The wording was a little tricky."
"A3RQN5RZD1N2KP","it3cdqap","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/53.0.2785.113 Safari/537.36","modules/AOW.html,modules/GOM.html","modules/AOW.html","true","true","259033","6","187586,226418,235042,242858,252737,259033","T2M3,T2M1,T1M1,T1M2,T2R1,T2M2","A little","1","1","Somewhat","Very","In the first example, it was a bit confusing and I wasn't sure what you were looking for so I ended up guessing but the second example after tinkering with the first made a lot more sense and I was able to make a good decision to get the right answer."
"A1B6K2VL8JLK8D","it3alhx5","Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:48.0) Gecko/20100101 Firefox/48.0","modules/AOW.html,modules/GOM.html","modules/AOW.html","true","true","591724","5","390991,490682,529441,591704,591724","T2R2,T2R1,T2M3,T2M2,T2M2","Very","0","1","Extremely","Somewhat","I struggled with knowing which one to change, but the second example made it a lot easier to understand. "
"A3N8JP3QR3VPE8","it39g9gd","Mozilla/5.0 (Windows NT 10.0; WOW64; rv:48.0) Gecko/20100101 Firefox/48.0","modules/AOW.html,modules/GOM.html","modules/AOW.html","true","true","47384","5","19427,30697,35998,47381,47384","T1M1,T1M2,T1M3,T2M2,T2M2","A little","1","1","A little","A little","I did not struggle with anything"
"AHPUVVEDSDA5F","it38aaiy","Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/52.0.2743.116 Safari/537.36","modules/AOW.html,modules/GOM.html","modules/AOW.html","true","true","141561","3","122354,134065,141561","T2R2,T2R1,T2M2","A little","0","3","Very","Extremely","I struggled with making some green statements false while trying to make the red statements true. This was no fault of the researchers; there is no way to make this easier that I can think of."
"A2WCXJZEXXR60A","it3cm452","Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/52.0.2743.116 Safari/537.36","modules/AOW.html,modules/GOM.html","modules/AOW.html","true","true","389623","3","329809,375459,389623","T1M3,T2M3,T2M2","A little","1","5","Somewhat","A little","I respond better to examples than concepts or definitions. More examples would help me comprehend and absorb better."
"debug","it37vp5c","Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:48.0) Gecko/20100101 Firefox/48.0","modules/AOW.html,modules/GOM.html","modules/AOW.html","true","true","9358","3","5897,9348,9358","T1M3,T2M2,T2M2","Not at all","1","1","A little","Somewhat"," ooo"
"A6JKKANO7F4KD","it3apk03","Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/52.0.2743.116 Safari/537.36","modules/AOW.html,modules/GOM.html","modules/AOW.html","true","true","626220","5","481134,539273,599470,616096,626220","T2M3,T2R2,T2R1,T2M1,T2M2","Somewhat","1","4","Somewhat","Somewhat","none"
