"workerId","postId","userAgent","experimentID","taskID","modules/t1.html_time","modules/t1.html_answers","modules/t1.html_responses","modules/t1.html_grade","modules/t1.html_exitq","q1"
"A3MPHGI584PR1U","ivn9ny5b","Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/54.0.2840.99 Safari/537.36","modules/t1.html,modules/t2.html,modules/t3.html,modules/t4.html,modules/t5.html,modules/t6.html,modules/t7.html,modules/t8.html,modules/t9.html,modules/t10.html","modules/t1.html","50100","[true,false,false,true]","[true,true,false,true]","0.75","true","No."
"A71WS46EWRAAM","ivndbj15","Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/54.0.2840.99 Safari/537.36","modules/t1.html,modules/t2.html,modules/t3.html,modules/t4.html,modules/t5.html,modules/t6.html,modules/t7.html,modules/t8.html,modules/t9.html,modules/t10.html","modules/t1.html","92091","[true,false,false,true]","[true,false,true,true]","0.75","true","Needs a lot of reading to understand."
"debug","ivn7c253","Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:49.0) Gecko/20100101 Firefox/49.0","modules/t1.html,modules/t2.html,modules/t3.html,modules/t4.html,modules/t5.html,modules/t6.html,modules/t7.html,modules/t8.html,modules/t9.html,modules/t10.html","modules/t1.html","2644","[true,false,false,true]","[true,true,true,true]","0.5","true","fooooo"
"APR6H3HAOE9OU","ivn7vrdi","Mozilla/5.0 (Windows NT 10.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/54.0.2840.99 Safari/537.36","modules/t1.html,modules/t2.html,modules/t3.html,modules/t4.html,modules/t5.html,modules/t6.html,modules/t7.html,modules/t8.html,modules/t9.html,modules/t10.html","modules/t1.html","99764","[true,false,false,true]","[true,false,false,true]","1","true","The answer was clear, it was just hard to understand how it fit in to the scheme. The previous tasks were very easy to understand. The final task was very confusing."
"A10A25H4472NHN","ivn7sv5g","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/54.0.2840.99 Safari/537.36","modules/t1.html,modules/t2.html,modules/t3.html,modules/t4.html,modules/t5.html,modules/t6.html,modules/t7.html,modules/t8.html,modules/t9.html,modules/t10.html","modules/t1.html","53173","[true,false,false,true]","[true,false,false,true]","1","true","I think all the info was there. I just need to process it more, before making a choice."
"A20T8WZODQVXC7","ivna4j1d","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/54.0.2840.99 Safari/537.36","modules/t1.html,modules/t2.html,modules/t3.html,modules/t4.html,modules/t5.html,modules/t6.html,modules/t7.html,modules/t8.html,modules/t9.html,modules/t10.html","modules/t1.html","263643","[true,false,false,true]","[false,false,false,true]","0.75","true","it was great . it was clear  . "
"A36YZCJV91T1EX","ivn8auvr","Mozilla/5.0 (Windows NT 6.1; WOW64; rv:49.0) Gecko/20100101 Firefox/49.0","modules/t1.html,modules/t2.html,modules/t3.html,modules/t4.html,modules/t5.html,modules/t6.html,modules/t7.html,modules/t8.html,modules/t9.html,modules/t10.html","modules/t1.html","47637","[true,false,false,true]","[true,false,true,true]","0.75","true","Everything was clear and easy to understand."
"A36SM7QM8OK3H6","ivn8o377","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/54.0.2840.71 Safari/537.36","modules/t1.html,modules/t2.html,modules/t3.html,modules/t4.html,modules/t5.html,modules/t6.html,modules/t7.html,modules/t8.html,modules/t9.html,modules/t10.html","modules/t1.html","39138","[true,false,false,true]","[true,false,false,true]","1","true","I did not feel like I struggled."
" A2M6URTK6WO6XJ","ivnac0wk","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/54.0.2840.71 Safari/537.36","modules/t1.html,modules/t2.html,modules/t3.html,modules/t4.html,modules/t5.html,modules/t6.html,modules/t7.html,modules/t8.html,modules/t9.html,modules/t10.html","modules/t1.html","109724","[true,false,false,true]","[true,true,true,true]","0.5","true","at first it was a bit confusing but after rereading the instructions, id figured it out"
"A2K33XG51K9PZF","ivn7rzt9","Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/51.0.2704.84 Safari/537.36","modules/t1.html,modules/t2.html,modules/t3.html,modules/t4.html,modules/t5.html,modules/t6.html,modules/t7.html,modules/t8.html,modules/t9.html,modules/t10.html","modules/t1.html","26077","[true,false,false,true]","[true,false,true,true]","0.75","true","Yes on the second part, I really was interested in this study but didn't understand"
