"workerId","postId","userAgent","experimentID","taskID","modules/t01.html_time","modules/t01.html_answers","modules/t01.html_responses","modules/t01.html_grade","modules/t01.html_exitq","q1"
"A3NBOAYT9H3LO0","iwi5u45z","Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/54.0.2840.99 Safari/537.36","modules/t01.html,modules/t02.html,modules/t03.html,modules/t04.html,modules/t05.html,modules/t06.html,modules/t07.html,modules/t08.html,modules/t09.html,modules/t10.html,modules/t11.html","modules/t01.html","73981","[true,false,false,true]","[true,false,false,true]","1","true","I really struggled with comprehending all of the different rules. "
"AGMJL8K9OMU64","iwi5oh9f","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/54.0.2840.98 Safari/537.36","modules/t01.html,modules/t02.html,modules/t03.html,modules/t04.html,modules/t05.html,modules/t06.html,modules/t07.html,modules/t08.html,modules/t09.html,modules/t10.html,modules/t11.html","modules/t01.html","346840","[true,false,false,true]","[true,true,true,true]","0.5","true","It was difficult to prioritize the list in a way that made it easy to eliminate issues."
"A320QA9HJFUOZO","iwi8uer7","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/54.0.2840.99 Safari/537.36","modules/t01.html,modules/t02.html,modules/t03.html,modules/t04.html,modules/t05.html,modules/t06.html,modules/t07.html,modules/t08.html,modules/t09.html,modules/t10.html,modules/t11.html","modules/t01.html","55541","[true,false,false,true]","[true,false,false,true]","1","true","There was one I thought I got right and am confused how I got it wrong. The conditions stated ""For each class, only students can be assistants""  3rd set on the page - ""Jessica is a professor""  ""Jessica is an assistant"" - Marked it red b/c Jessica was a professor AND assistant, and only students can be assistants. This could be possible if professors of other classes were allowed to be assistants in classes they did not teach, but the conditions did not specify that. \nAnyway, it was mildly interesting, thanks. \nAlso, I don't see a code below, but hopefully one will be shown after pressing submit."
"A2F79GFUWU5O96","iwi5wx8n","Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/54.0.2840.99 Safari/537.36","modules/t01.html,modules/t02.html,modules/t03.html,modules/t04.html,modules/t05.html,modules/t06.html,modules/t07.html,modules/t08.html,modules/t09.html,modules/t10.html,modules/t11.html","modules/t01.html","82258","[true,false,false,true]","[true,true,true,true]","0.5","true","I don't see a survey code. It just says, ""Please copy and paste the following code back on Mechanical Turk before closing this window:   ""\n\nMy worker id is: A2F79GFUWU5O96"
"debug","iwi3r8au","Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:50.0) Gecko/20100101 Firefox/50.0","modules/t01.html,modules/t02.html,modules/t03.html,modules/t04.html,modules/t05.html,modules/t06.html,modules/t07.html,modules/t08.html,modules/t09.html,modules/t10.html,modules/t11.html","modules/t01.html","3161","[true,false,false,true]","[true,true,true,true]","0.5","true","foobar"
"A1A7P5LC80G47W","iwi5jv1h","Mozilla/5.0 (Windows NT 6.1; WOW64; rv:50.0) Gecko/20100101 Firefox/50.0","modules/t01.html,modules/t02.html,modules/t03.html,modules/t04.html,modules/t05.html,modules/t06.html,modules/t07.html,modules/t08.html,modules/t09.html,modules/t10.html,modules/t11.html","modules/t01.html","86527","[true,false,false,true]","[true,true,false,true]","0.75","true","This was very confusing. I feel like some of the school ones were not right, or maybe I really didn't understand.  Like in the first few a professor had to have a title, later on it said the professor was someone with no title, but it was supposed to be consistant."
"A3HNPSPTA0NIR6","iwi5pkl5","Mozilla/5.0 (Windows NT 10.0; WOW64; rv:50.0) Gecko/20100101 Firefox/50.0","modules/t01.html,modules/t02.html,modules/t03.html,modules/t04.html,modules/t05.html,modules/t06.html,modules/t07.html,modules/t08.html,modules/t09.html,modules/t10.html,modules/t11.html","modules/t01.html","139594","[true,false,false,true]","[true,true,true,true]","0.5","true","Confusing that I click twice to get green to change to red.  "
"ATJFUHXPYHISH","iwi4oqp4","Mozilla/5.0 (Windows NT 6.1; WOW64; rv:50.0) Gecko/20100101 Firefox/50.0","modules/t01.html,modules/t02.html,modules/t03.html,modules/t04.html,modules/t05.html,modules/t06.html,modules/t07.html,modules/t08.html,modules/t09.html,modules/t10.html,modules/t11.html","modules/t01.html","83701","[true,false,false,true]","[true,true,true,true]","0.5","true","I didn't do to well with all the logic problems, thats never been my strong point.  "
"A3T9C1USL4V4IJ","iwi5s1zh","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/54.0.2840.99 Safari/537.36","modules/t01.html,modules/t02.html,modules/t03.html,modules/t04.html,modules/t05.html,modules/t06.html,modules/t07.html,modules/t08.html,modules/t09.html,modules/t10.html,modules/t11.html","modules/t01.html","77558","[true,false,false,true]","[true,false,false,true]","1","true","this was difficult and hurt my brain but it was fun"
"A248TO3PTV0K5P","iwi5lzaa","Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.112 Safari/537.36","modules/t01.html,modules/t02.html,modules/t03.html,modules/t04.html,modules/t05.html,modules/t06.html,modules/t07.html,modules/t08.html,modules/t09.html,modules/t10.html,modules/t11.html","modules/t01.html","147853","[true,false,false,true]","[false,false,false,true]","0.75","true","nice survey "
